paperid,doi,shortnormname,soundex,normname,magid,s2id,lvl0,lvl1,affid
2049093536,10.1145/1377999.1378027,aoh,A252,aekyung oh,2694804376,2797452,"","",149635348
2049093536,10.1145/1377999.1378027,aoh,A252,aekyung oh,2694804376,2797452,"",41008148,111919701
1483289679,10.1007/11596981_98,aho,A535,anthony t s ho,2119775669,34772499,"","",154945302
1528455415,10.1007/978-3-540-93900-9_24,ahu,A452,alan j hu,2001625928,1741933,"","",120314980
1991033876,10.1109/tvlsi.2012.2195040,awu,A500,anyeu wu,2149874420,144113827,16733864,41008148,24326235
2035881184,10.1007/s10470-012-9834-7,aye,A530,andy ye,2119975002,2622964,530967,41008148,24326235
2068749191,10.1109/jsac.2011.110218,ahe,A500,an he,2156016583,144240852,"",41008148,126255220
2065419310,10.1109/nswctc.2009.401,ahu,A250,aiqun hu,2684995648,143680961,"","",120314980
2069196424,10.1162/coli.2008.34.1.81,away,A530,andy way,2110815193,144315616,"",41008148,154945302
2092605143,10.1006/cviu.1996.0045,awu,A524,angela y wu,2701612366,1736712,"","",118615104
2069196424,10.1162/coli.2008.34.1.81,away,A530,andy way,2110815193,144315616,"","",204321447
2121963738,10.1109/sitis.2008.51,ayahya,A240,azli yahya,2317670043,3046963,"",41008148,11413529
2078040110,10.1093/comjnl/bxm039,ayeo,A536,anders yeo,2152712730,145762028,184558857,33923547,118615104
2123132943,10.1007/s11036-005-1561-1,ahu,A524,answol hu,2054106778,3011995,"","",120314980
2078040110,10.1093/comjnl/bxm039,ayeo,A536,anders yeo,2152712730,145762028,"","",114614502
1992920855,10.1017/s0269888998002094,ahowe,A340,adele e howe,2111752460,2136919,92446798,41008148,49774154
1976725668,10.1016/j.chb.2010.10.019,aeye,A425,alexander von eye,186465930,3012147,87216513,15744967,77805123
2007599923,10.1016/j.chb.2012.03.022,aie,A553,amanda ie,2019313269,2938645,136199984,15744967,77805123
1976725668,10.1016/j.chb.2010.10.019,aeye,A425,alexander von eye,186465930,3012147,"","",149923435
2021848747,10.1016/j.mejo.2008.11.043,ahu,A500,an hu,2304984660,49752192,530967,127413603,24326235
1993522825,10.1016/j.ins.2011.07.044,awu,A452,ailong wu,2156706082,1757903,47720641,41008148,65244806
2048625955,10.1145/2425296.2425311,ayee,A415,alvin wong hong yee,2232204456,1952491,115228651,15744967,44154836
2060459384,10.1007/s00542-008-0706-0,ayi,A450,allen y yi,2129996330,2999091,52357470,192562407,120665830
2053832537,10.1016/j.vlsi.2011.11.017,aye,A530,andy ye,2119975002,20524122,530967,41008148,113775141
